Zipcode,SiteName,SiteType,Longitude,Latitude
78702,PRAK Property Management,Single Family,-97.723987,30.266482
78702,PRAK Property Management,Single Family,-97.724124,30.266574
78702,PRAK Property Management,Single Family,-97.724337,30.266652
78702,PRAK Property Management,Single Family,-97.72450500000001,30.266118
78702,PRAK Property Management,Single Family,-97.724707,30.265297999999998
78702,PRAK Property Management,Single Family,-97.724932,30.265855
78702,PRAK Property Management,Single Family,-97.725015,30.265715000000004
78702,PRAK Property Management,Single Family,-97.72497299999999,30.265359999999998
78702,PRAK Property Management,Single Family,-97.724877,30.265309000000002
78702,PRAK Property Management,Single Family,-97.72470799999999,30.265296999999997
78702,PRAK Property Management,Single Family,-97.72314899999999,30.266766999999998
78702,PRAK Property Management,Single Family,-97.722927,30.266657000000002
78723,PRAK Property Management,Single Family,-97.723054,30.266717
78702,PRAK Property Management,Single Family,-97.72366,30.265931
78702,PRAK Property Management,Single Family,-97.723292,30.2657
78702,PRAK Property Management,Single Family,-97.723095,30.266176
78702,PRAK Property Management,Single Family,-97.723201,30.266259
78702,PRAK Property Management,Single Family,-97.723066,30.266015999999997
78752,PRAK Property Management,Single Family,-97.696935,30.330556
78702,PRAK Property Management,Single Family,-97.71899,30.264685999999998
78723,Austin Film Society,PublicInternet,-97.69474,30.301510999999998
78758,YMCA of Austin,PublicInternet,-97.699905,30.364566999999997
78721,Austin Independent School District,PublicInternet,-97.681404,30.256883000000002
78753,Goodwill Industries of Central Texas,PublicInternet,-97.693053,30.339476
78748,Austin Independent School District,PublicInternet,-97.80212900000001,30.150746999999996
78702,Austin Public Library,PublicInternet,-97.733214,30.260114
78726,Concordia University Texas,PublicInternet,-97.837166,30.42008
78753,Girl Scouts of Central Texas,PublicInternet,-97.67367,30.389938
78753,PARD,PublicInternet,-97.68151800000001,30.354041
78758,Austin Independent School District,PublicInternet,-97.708443,30.361618
78758,CommUnityCare (North Central Facility),PublicInternet,-97.694254,30.385436
78727,Austin Public Library,PublicInternet,-97.714651,30.423153000000003
78731,Austin Public Library,PublicInternet,-97.755706,30.353327
78750,Round Rock ISD,PublicInternet,-97.797026,30.457439
78753,Pflugerville ISD,PublicInternet,-97.675876,30.417194
78757,Girlstart,PublicInternet,-97.719996,30.350956
78756,Texas Folklife,PublicInternet,-97.738547,30.328283000000003
78703,Austin Independent School District,PublicInternet,-97.766201,30.27417
78744,Austin Public Library,PublicInternet,-97.765174,30.188312
78705,KLRU,PublicInternet,-97.740318,30.289132000000002
78723,"Pecan Street, Inc.",PublicInternet,-97.699405,30.291898
78701,Mexic-Arte Museum,PublicInternet,-97.74319399999999,30.266993
78701,Front Steps,PublicInternet,-97.737698,30.267644
78701,Ballet Austin,PublicInternet,-97.74895,30.266715
