OrganizationName,Category,ConnectionStatus,ConnectionColor,LocationName,CouncilDistrict,LocationAddress,LocationCity,LocationState,Zipcode,LocationCounty,FileName,ApplicationDocument,Longitude,Latitude,Location
Boys & Girls Clubs of the Austin Area,"Social, Health, & Well-Being (including family services)",,,East Club,1,901 Thompson Street,AUSTIN,TX,78702,Travis,Boys and Girls Club of Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205431,-97.709306,30.270801,"(30.270801, -97.709306)"
United Way for Greater Austin,"Social, Health, & Well-Being (including family services)",Active,1,,1,2000 E. MLK Jr. Blvd,AUSTIN,TX,78702,Travis,United Way for Greater Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205472,-97.719766,30.280043,"(30.280043, -97.719766)"
River City Youth Foundation,"Social, Health, & Well-Being (including family services)",Active,1,,2,5209 S. Pleasant Valley Road,AUSTIN,TX,78744,Travis,RCYF.pdf,http://www.austintexas.gov/edims/document.cfm?id=205458,-97.744704,30.195802,"(30.195802, -97.744704)"
One Texas Center,Public (Government) Facilities & Entities,Active,1,,9,505 Barton Springs Road,AUSTIN,TX,787041,Travis,One Texas Center.pdf,http://www.austintexas.gov/edims/document.cfm?id=205453,-97.749542,30.258402,"(30.258402, -97.749542)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Twin Oaks Branch,9,1800 S. 5th Street,AUSTIN,TX,78704,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.76174,30.248863,"(30.248863, -97.76174)"
Texas Civil Rights Project,"Social, Health, & Well-Being (including family services)",Active,1,,3,1405 Montopolis Drive,AUSTIN,TX,78741,Travis,Texas Civil Rights Project.pdf,http://www.austintexas.gov/edims/document.cfm?id=205464,-97.700334,30.229821,"(30.229821, -97.700334)"
YWCA Greater Austin,"Social, Health, & Well-Being (including family services)",Active,1,,2,2015 S Interstate 35,AUSTIN,TX,78741,Travis,YWCA Austin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205475,-97.73883,30.23696,"(30.23696, -97.73883)"
Long Center for the Performing Arts,"Arts, Culture, and Community",Active,1,,9,701 W Riverside Dr,AUSTIN,TX,78704,Travis,The Long Center for the Performing Arts.pdf,http://www.austintexas.gov/edims/document.cfm?id=205449,-97.750198,30.260963,"(30.260963, -97.750198)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Manchaca Road Branch,5,5500 Manchaca Road,AUSTIN,TX,78745,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.796899,30.216327,"(30.216327, -97.796899)"
PARD,Public (Government) Facilities & Entities,Active,1,Conley-Guerreo Senior Center,1,808 Nile St,AUSTIN,TX,78702,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,-97.711018,30.266048,"(30.266048, -97.711018)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Ann Richards School,5,2206 Prather Ln,AUSTIN,TX,78704,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.788031,30.234747,"(30.234747, -97.788031)"
St. Edward’s University,"Education, Workforce, & Higher Education",Active,1,,3,3001 South Congress Avenue,AUSTIN,TX,78704,Travis,St. Edwards University.pdf,http://www.austintexas.gov/edims/document.cfm?id=205463,-97.758818,30.231903,"(30.231903, -97.758818)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Travis High,9,1211 E Oltorf St,AUSTIN,TX,78704,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.743904,30.234768,"(30.234768, -97.743904)"
PARD,Public (Government) Facilities & Entities,Active,1,Carver Museum,1,1165 Angelina St,AUSTIN,TX,78702,Travis,PARD Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205455,-97.724565,30.270157,"(30.270157, -97.724565)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Garza,1,1600 Chicon St,AUSTIN,TX,78702,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.720737,30.277589,"(30.277589, -97.720737)"
HACA - Booker T. Washington,Public (Government) Facilities & Entities,Active,1,,1,905 Bedford Street,AUSTIN,TX,78702,Travis,HACA.pdf,http://www.austintexas.gov/edims/document.cfm?id=205444,-97.707762,30.27148,"(30.27148, -97.707762)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Hampton Branch at Oak Hill,8,5125 Convict Hill Road,AUSTIN,TX,78749,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.854237,30.218743,"(30.218743, -97.854237)"
Austin Independent School District,Public (Government) Facilities & Entities,Active,1,Bowie High,8,4103 W Slaughter Ln,AUSTIN,TX,78745,Travis,Austin Independent School District Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205426,-97.856886,30.18914,"(30.18914, -97.856886)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Ruiz Library,3,1600 Grove Blvd.,AUSTIN,TX,78741,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.706314,30.230228,"(30.230228, -97.706314)"
Austin Theater Alliance,"Arts, Culture, and Community",Active,1,The Vortex,9,2307 Manor Rd.,AUSTIN,TX,78722,Travis,Austin Theater Alliance.pdf,http://www.austintexas.gov/edims/document.cfm?id=205427,-97.742205,30.269711,"(30.269711, -97.742205)"
Umlauf Sculpture Garden & Museum,"Arts, Culture, and Community",Active,1,,5,605 Robert E. Lee Road,AUSTIN,TX,78704,Travis,Umlauf Sculpture Garden Museum.pdf,http://www.austintexas.gov/edims/document.cfm?id=205471,-97.766207,30.263866,"(30.263866, -97.766207)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Southeast Library,2,5803 Nuckols Crossing Road,AUSTIN,TX,78744,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.742224,30.187926,"(30.187926, -97.742224)"
Austin Public,Public (Government) Facilities & Entities,Active,1,City Community Media Facility,1,1143 Northwestern Avenue,AUSTIN,TX,78702,Travis,channelAustin.pdf,http://www.austintexas.gov/edims/document.cfm?id=205434,-97.716251,30.269268,"(30.269268, -97.716251)"
LifeWorks,"Social, Health, & Well-Being (including family services)",Active,1,,3,835 N. Pleasant Valley Road,AUSTIN,TX,78702,Travis,LifeWorks.pdf,http://www.austintexas.gov/edims/document.cfm?id=205448,-97.708247,30.264563,"(30.264563, -97.708247)"
DeWitty Job Training and Employment Center,Public (Government) Facilities & Entities,Active,1,,1,2209 Rosewood Ave,AUSTIN,TX,78702,Travis,Austin Free-Net.pdf,http://www.austintexas.gov/edims/document.cfm?id=205425,-97.7159,30.27021,"(30.27021, -97.7159)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,Carver Library,1,1161 Angelina Street,AUSTIN,TX,78702,Travis,Austin Public Library Multiple Sites.pdf,http://www.austintexas.gov/edims/document.cfm?id=205504,-97.724523,30.26995,"(30.26995, -97.724523)"
City Hall,Public (Government) Facilities & Entities,Active,1,,9,301 W. 2nd Street,Austin,TX,78701,Travis,,,-97.746989,30.26488,"(30.26488,-97.746989)"
Austin Public Library,Public (Government) Facilities & Entities,Active,1,New Central Library,9,710 W. Cesar Chavez St,Austin,TX,78701,Travis,,,-97.751777,30.266125,"(30.266125, -97.751777)"
